Id,PostTypeId,ParentId,CreationDate,Score,OwnerUserId,OwnerDisplayName,Title,Tags,AnswerCount,CommentCount
"5515021","1","","2011-04-01 14:50:44","5","687739","","Compute a compounded return series in Python","<python><list-comprehension><time-series><pandas>","3","6"
"8916302","1","","2012-01-18 19:41:27","7","248237","","selecting across multiple columns with python pandas?","<python><csv><numpy><tab-delimited><pandas>","2",""
"8966871","1","","2012-01-23 03:21:00","0","1164240","","Running Python/Numpy/Pandas on older secure computer","<python><numpy><pandas>","","3"
"8991709","1","","2012-01-24 17:59:53","36","345660","","Why are pandas merges in python faster than data.table merges in R?","<python><r><join><data.table><pandas>","2","12"
"9556892","1","","2012-03-04 16:58:45","3","963033","","Pandas DataFrame - desired index has duplicate values","<python><data.frame><pandas>","1",""
"9641916","1","","2012-03-09 22:36:52","5","1260307","","Python Pandas: can't find numpy.core.multiarray when importing pandas","<python><numpy><pandas>","4","2"
"9647656","1","","2012-03-10 15:35:26","2","946197","","Pandas dataframe in mixed mode can't serialize to hdf5?","<python><hdf5><pandas>","1",""
"9758450","1","","2012-03-18 12:53:06","2","939715","","Pandas convert dataframe to array of tuples","<python><pandas>","2",""
"9944436","1","","2012-03-30 13:58:29","2","680238","","Converting OHLC stock data into a different timeframe with python and pandas","<python><stock><pandas>","1","3"
"10020591","1","","2012-04-04 23:17:23","3","1301710","","How to downsample a dataframe with different functions applied to each column?","<python><numpy><time-series><pandas>","4","2"
"10158613","1","","2012-04-15 00:37:31","4","1610626","","Importing Confusion Pandas","<python><pandas>","3","1"
"10202570","1","","2012-04-18 03:59:55","6","7650","","Pandas DataFrame - Find row where values for column is maximal","<python><pandas>","2",""
"10215259","1","","2012-04-18 18:04:04","1","369541","","pandas aggregated data to a numpy array : data structure conversion","<python><pandas>","1",""
"10449663","1","","2012-05-04 13:20:52","1","1374969","","Pandas cannot be imported into IPython","<python><windows><ipython><pandas>","1","2"
"10457584","1","","2012-05-05 00:00:12","2","1257953","","Redefining the Index in a Pandas DataFrame Object","<python><pandas>","1","1"
"10511024","1","","2012-05-09 06:45:29","7","442158","","in Ipython notebook, Pandas is not displying the graph I try to plot.","<python><ipython><pandas>","2","2"
"10545957","1","","2012-05-11 05:36:56","3","369541","","creating pandas data frame from multiple files","<python><pandas>","4","1"
"10705715","1","","2012-05-22 16:00:59","0","1410646","","averaging half-hourly data for weekdays only","<python><pandas>","1","2"
"10715965","1","","2012-05-23 08:12:31","21","31335","","add one row in a pandas.DataFrame","<python><pandas>","2","3"
"10839701","1","","2012-05-31 19:04:59","2","1429196","","Time-weighted average with Pandas","<python><time-series><pandas>","1",""
"10844493","1","","2012-06-01 04:40:16","0","1429853","","DataFrame.apply in python pandas alters both original and duplicate DataFrames","<python><pandas>","1",""
"10982089","1","","2012-06-11 14:28:49","1","1199589","","How to shift a column in Pandas DataFrame","<python><data.frame><pandas>","1","0"
